instruction,response,output,prompt,history,summary,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
Someone in country club apartments around the area of the G apartments is smoking weed and it reeks.,"Ok, what room number are they in and what floor?",Is there a specific location near the G apartments?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports to an admin that someone in the country club apartments near the G apartments is smoking weed and the smell is bothering them. The admin asks for a specific location, but the user is unable to provide one. The user expresses difficulty studying due to the smell and the admin assures them that an officer will be sent to investigate. The user thanks the admin and the admin responds with ""you're welcome."" 
 User: Someone in country club apartments around the area of the G apartments is smoking weed and it reeks.
Dispatcher:",[],"A user reports to an admin that someone in the country club apartments near the G apartments is smoking weed and the smell is bothering them. The admin asks for a specific location, but the user is unable to provide one. The user expresses difficulty studying due to the smell and the admin assures them that an officer will be sent to investigate. The user thanks the admin and the admin responds with ""you're welcome.""",1,9,98.16,,99,,9,33.33,88.89,66.67,55.56,0,0,0,0,0,0,0,0,22.22,22.22,0,11.11,11.11,11.11,0,0,11.11,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.44,0,0,44.44,0,0,0,0,0,11.11,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,0
Not sure what room. His name is [PERSON].,When did you see the alcohol in the fridge and why do you feel unsafe,When was the last time you saw this bottle of alcohol? And does [PERSON] have any problems that would make you feel unsafe for him?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.

The user expresses concern about their friend, who lives at an undisclosed location and has a bottle of alcohol in their mini fridge. The user is unsure if the friend still has the alcohol and feels unsafe. The admin asks for the friend's name and room number, and the user provides the name but is unsure of the room number. The admin asks when the user last saw the alcohol and if the friend has any issues that would make them feel unsafe. The user says it was a few weeks ago and the friend is going to counseling. The user is worried about the friend getting in trouble and the admin advises them to call the police if they see the alcohol again. The user thanks the admin for the advice and the admin reminds them to stay safe. 
 User: My friend lives at [ORG] and he has a bottle of fire ball in his mini fridge. I'm not sure if he still has it now but I feel really unsafe and he's [DATE]. I don't know what he plans on doing with it. I just feel really unsafe that he keeps it there.
Dispatcher: What is your friends name and what room does he live in? 
 User: Not sure what room. His name is [PERSON].
Dispatcher:","[[""My friend lives at [ORG] and he has a bottle of fire ball in his mini fridge. I'm not sure if he still has it now but I feel really unsafe and he's [DATE]. I don't know what he plans on doing with it. I just feel really unsafe that he keeps it there."", 'What is your friends name and what room does he live in?']]","The user expresses concern about their friend, who lives at an undisclosed location and has a bottle of alcohol in their mini fridge. The user is unsure if the friend still has the alcohol and feels unsafe. The admin asks for the friend's name and room number, and the user provides the name but is unsure of the room number. The admin asks when the user last saw the alcohol and if the friend has any issues that would make them feel unsafe. The user says it was a few weeks ago and the friend is going to counseling. The user is worried about the friend getting in trouble and the admin advises them to call the police if they see the alcohol again. The user thanks the admin for the advice and the admin reminds them to stay safe.",1,25,7.03,99,1,1,12.5,8,96,76,60,20,12,0,0,8,4,0,8,16,4,0,8,16,4,8,0,28,4,0,0,0,0,0,20,0,20,4,4,4,4,0,0,0,4,0,4,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,4,0,16,8,0,0,0,4,0,4,8,8,8,0,0,0,0,0,0,16,0,0,8,0,0,8,0
Honestly I just want them to leave us alone.,Alright I will send an officer to that area to have them stay clear of your friend,OK,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports to an admin that there are people drinking and bothering them on the odd side of a location. The admin assures the user that officers will be sent. The user describes the people as yelling and making inappropriate comments, and mentions a specific person with a beer and ginger hair. The user also mentions that the group is now inside. The admin confirms that the officers are on their way and asks for more information about the location of the group. The user declines to make a complaint but asks for the group to be left alone. The admin assures the user that the officers are on the scene and asks them to report any further incidents. The user thanks the admin. 
 User: They kept yelling hey sexy and asking if we were having a good night and laughing at us. The bigger guy with the blue security shirt had a beer in his hand ginger hair
Dispatcher: I know a lot of people are drinking tonight but it was awful how he treated us 
 User: They are in ### now
Dispatcher: Nunn 
 User: The [NORP] on duty is in route to that area.
Dispatcher: Are they in a room or standing outside 
 User: ok that is where the [ORG] is headed
Dispatcher: They were standing outside but my friend and I had to pass them a couple times we were loading stuff to her car now they're inside 
 User: ok
Dispatcher: Do you want to make a complaint for harassment. 
 User: Honestly I just want them to leave us alone.
Dispatcher:","[['They kept yelling hey sexy and asking if we were having a good night and laughing at us. The bigger guy with the blue security shirt had a beer in his hand ginger hair', 'I know a lot of people are drinking tonight but it was awful how he treated us'], ['They are in ### now', 'Nunn'], ['The [NORP] on duty is in route to that area.', 'Are they in a room or standing outside'], ['ok that is where the [ORG] is headed', ""They were standing outside but my friend and I had to pass them a couple times we were loading stuff to her car now they're inside""], ['ok', 'Do you want to make a complaint for harassment.']]","A user reports to an admin that there are people drinking and bothering them on the odd side of a location. The admin assures the user that officers will be sent. The user describes the people as yelling and making inappropriate comments, and mentions a specific person with a beer and ginger hair. The user also mentions that the group is now inside. The admin confirms that the officers are on their way and asks for more information about the location of the group. The user declines to make a complaint but asks for the group to be left alone. The admin assures the user that the officers are on the scene and asks them to report any further incidents. The user thanks the admin.",1,1,,,,,1,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0
"[PERSON]",[ACRONYM]Y,"[ACRONYM], [ACRONYM] [ACRONYM].","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports a suspicious odor on the [th] floor in the [###-###] hallway. The admin asks for clarification on the location and if anyone has reported the issue. The admin also asks for the name of the person reporting the issue. The admin then asks if the issue is related to [ACRONYM], [ACRONYM], [ACRONYM], [ACRONYM], and [ACRONYM]. The user responds with the name of their organization and their own name. The admin confirms that they will take care of the issue and asks the user to contact them if they have any further concerns. 
 User: There is a strong suspicious odor #th floor. ###-### Hallway
Dispatcher: [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM]? 
 User: [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM]?
Dispatcher: [PERSON]? 
 User: [ACRONYM] [ACRONYM] [ACRONYM] SANF[ACRONYM]D [ACRONYM] MO[ACRONYM]E [ACRONYM]?
Dispatcher: [ORG] 
 User: [PERSON]
Dispatcher:","[['There is a strong suspicious odor #th floor. ###-### Hallway', '[ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM]?'], ['[ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM]?', '[PERSON]?'], ['[ACRONYM] [ACRONYM] [ACRONYM] SANF[ACRONYM]D [ACRONYM] MO[ACRONYM]E [ACRONYM]?', '[ORG]']]","A user reports a suspicious odor on the [th] floor in the [###-###] hallway. The admin asks for clarification on the location and if anyone has reported the issue. The admin also asks for the name of the person reporting the issue. The admin then asks if the issue is related to [ACRONYM], [ACRONYM], [ACRONYM], [ACRONYM], and [ACRONYM]. The user responds with the name of their organization and their own name. The admin confirms that they will take care of the issue and asks the user to contact them if they have any further concerns.",1,3,,,,,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266.67,33.33,33.33,0,0,0,200,0
I do not,"Ok we will send an officer to check it out, thank you for using [ORG]. We really appreciate it.","An [ORG] is looking into this, thank you for using LiveSafe.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports underage drinking in a person's room at Ober location. The admin asks for the room number, but the user does not know it. The admin informs the user that an organization is looking into the situation and thanks them for using LiveSafe. The user mentions that the person's organization is friends with them. The admin clarifies that they contacted the organization on duty, not the person's floor organization. 
 User: Underage drinking in [PERSON] room in Ober
Dispatcher: Do you know the room number? 
 User: I do not
Dispatcher:","[['Underage drinking in [PERSON] room in Ober', 'Do you know the room number?']]","A user reports underage drinking in a person's room at Ober location. The admin asks for the room number, but the user does not know it. The admin informs the user that an organization is looking into the situation and thanks them for using LiveSafe. The user mentions that the person's organization is friends with them. The admin clarifies that they contacted the organization on duty, not the person's floor organization.",1,11,89.52,99,5.07,99,11,18.18,90.91,81.82,54.55,18.18,9.09,0,0,9.09,0,0,9.09,18.18,9.09,0,18.18,9.09,0,0,0,36.36,0,0,0,0,0,0,9.09,0,9.09,0,9.09,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,18.18,9.09,9.09,9.09,0,0,9.09,9.09,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,0,0,9.09,9.09,0,0,0,0,9.09,0,0,0,0,0,0,36.36,9.09,9.09,0,0,0,18.18,0
"[PERSON], a resident on the third floor of [FAC], has recently been drinking large amounts of alcohol and weed. It is getting to a point that is concerning. She will drink bottles of alcohol, get trashed, have fits of rage screaming at people like her RAs, RHCs, neighbors, and friends, then spends hours puking on the floor. Next, to calm herself down from her rage/anger with everyone else she will smoke weed until she practically doesn't know who anyone even is and is walking into the wrong bedrooms. She is constantly either drunk or high and she really needs help.","Thank you so much for reporting this, how long ago did you last see [PERSON] acting this way?",Thank you for using Live Safe. Is she currently drunk or high? Or are you requesting a welfare check for her?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.

A user reports concerns about a resident, referred to as [PERSON], who lives on the third floor of [FAC]. [PERSON] has been drinking excessive amounts of alcohol and smoking weed, leading to fits of rage and vomiting. The user is unsure if [PERSON] is currently under the influence, but requests a welfare check or assistance for [PERSON]. The admin thanks the user for the report and assures them that it is anonymous. The user offers additional information about [PERSON]'s behavior and habits, including videos on Snapchat and a hidden dab pen. The admin thanks the user again and says they will have an officer speak with [PERSON]. 
 User: [PERSON], a resident on the third floor of [FAC], has recently been drinking large amounts of alcohol and weed. It is getting to a point that is concerning. She will drink bottles of alcohol, get trashed, have fits of rage screaming at people like her RAs, RHCs, neighbors, and friends, then spends hours puking on the floor. Next, to calm herself down from her rage/anger with everyone else she will smoke weed until she practically doesn't know who anyone even is and is walking into the wrong bedrooms. She is constantly either drunk or high and she really needs help.
Dispatcher:",[],"A user reports concerns about a resident, referred to as [PERSON], who lives on the third floor of [FAC]. [PERSON] has been drinking excessive amounts of alcohol and smoking weed, leading to fits of rage and vomiting. The user is unsure if [PERSON] is currently under the influence, but requests a welfare check or assistance for [PERSON]. The admin thanks the user for the report and assures them that it is anonymous. The user offers additional information about [PERSON]'s behavior and habits, including videos on Snapchat and a hidden dab pen. The admin thanks the user again and says they will have an officer speak with [PERSON].",1,21,18.12,99,24.32,99,7,14.29,100,80.95,57.14,19.05,19.05,0,0,9.52,9.52,0,0,9.52,4.76,0,9.52,9.52,4.76,9.52,0,23.81,9.52,0,4.76,0,0,4.76,14.29,0,14.29,0,4.76,0,9.52,0,9.52,0,9.52,9.52,0,0,0,0,0,0,0,0,28.57,9.52,4.76,9.52,0,0,4.76,19.05,0,0,9.52,0,4.76,4.76,0,0,0,0,0,0,0,0,9.52,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,4.76,0,14.29,14.29,4.76,0,9.52,0,0,0,4.76,0,14.29,0,0,0,0,0,0,14.29,4.76,0,9.52,0,0,0,0
Maybe ###? It is really hard to miss in the hallway,"###? Where do you stand exactly and which way do you look as you said you can#t miss it?","Okay, i'll pass it along. Thanks","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports a strong smell of weed in a location associated with a person named Ryan. The admin thanks the user for the tip and says they will send someone to check it out. The user confirms that the smell is still strong and suggests a specific room. The admin says they will pass the information along and thanks the user. 
 User: Strong weed smell ryan # north
Dispatcher: Thank you for the tip! We will send somebody to check it out. 
 User: It is very strong and has not gone away
Dispatcher: The [ORG] has reported to me that he walked through that floor and did not find anything. Could you provide me with a specific room? 
 User: Maybe ###? It is really hard to miss in the hallway
Dispatcher:","[['Strong weed smell ryan # north', 'Thank you for the tip! We will send somebody to check it out.'], ['It is very strong and has not gone away', 'The [ORG] has reported to me that he walked through that floor and did not find anything. Could you provide me with a specific room?']]",A user reports a strong smell of weed in a location associated with a person named Ryan. The admin thanks the user for the tip and says they will send someone to check it out. The user confirms that the smell is still strong and suggests a specific room. The admin says they will pass the information along and thanks the user.,1,6,10.19,1,99,99,3,0,100,100,50,33.33,16.67,16.67,0,0,0,0,16.67,0,0,0,16.67,16.67,0,0,0,50,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,16.67,16.67,16.67,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,16.67,0,16.67,0,0,0,0,0,0,0,16.67,16.67,0,16.67,0,0,50,16.67,16.67,0,0,16.67,0,0
I do not know which of buses unfortunately.,"Can you give us a description of [PERSON]? What race is he, what height, what attire?","do know his given name, not his [NORP] name by any chance?","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports to an admin that someone named [PERSON] of [PERSON] has been drinking on campus and is currently at the party buses in [LOC] parking lot. The user does not know which bus the person will be on and does not know their given name, only their legal name [PERSON]. The admin asks for the user's current location and suggests meeting with an officer outside of lovernich commons. The user wants to remain anonymous and the admin thanks them for the notice and wishes them a good night. 
 User: [PERSON] of [PERSON] has been drinking on campus and is at the party buses in [PERSON] parking lot. He also has apple sauce pouches with alcohol in them.
Dispatcher: which bus is he gonna be on? 
 User: I do not know which of buses unfortunately.
Dispatcher:","[['[PERSON] of [PERSON] has been drinking on campus and is at the party buses in [PERSON] parking lot. He also has apple sauce pouches with alcohol in them.', 'which bus is he gonna be on?']]","A user reports to an admin that someone named [PERSON] of [PERSON] has been drinking on campus and is currently at the party buses in [LOC] parking lot. The user does not know which bus the person will be on and does not know their given name, only their legal name [PERSON]. The admin asks for the user's current location and suggests meeting with an officer outside of lovernich commons. The user wants to remain anonymous and the admin thanks them for the notice and wishes them a good night.",1,12,26.1,98.75,1,,12,0,91.67,66.67,50,16.67,16.67,0,0,0,16.67,0,0,25,0,0,8.33,8.33,0,0,8.33,25,0,0,0,0,0,0,33.33,0,33.33,8.33,0,0,16.67,0,8.33,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,33.33,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,33.33,0,8.33,8.33,0,0,16.67,0
She is still inebriated and a member of Housing,Ok we will investigate,Thank You for this notice. I will have an officer investigate,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user informs an admin that a member of an organization, [PERSON], is currently drinking off campus but will be returning to campus to board a bus for a formal event. The admin thanks the user for the notice and the user adds that [PERSON] is still inebriated and a member of Housing. The admin thanks the user again and says they will have an officer investigate. The user then informs the admin that they saw [PERSON] drinking at Chipotle and that [PERSON] is still drunk. The admin asks if [PERSON] is still at [ORG] or if they have already headed to campus. The user confirms that [PERSON] is on campus but they lost sight of [PERSON]. The admin thanks the user for the notice. 
 User: [PERSON], a member of [ORG] is drinking off campus but is returning to campus right now to board the bus to [ORG] formal.
Dispatcher: thank you for this notice 
 User: She is still inebriated and a member of Housing
Dispatcher:","[['[PERSON], a member of [ORG] is drinking off campus but is returning to campus right now to board the bus to [ORG] formal.', 'thank you for this notice']]","A user informs an admin that a member of an organization, [PERSON], is currently drinking off campus but will be returning to campus to board a bus for a formal event. The admin thanks the user for the notice and the user adds that [PERSON] is still inebriated and a member of Housing. The admin thanks the user again and says they will have an officer investigate. The user then informs the admin that they saw [PERSON] drinking at Chipotle and that [PERSON] is still drunk. The admin asks if [PERSON] is still at [ORG] or if they have already headed to campus. The user confirms that [PERSON] is on campus but they lost sight of [PERSON]. The admin thanks the user for the notice.",1,11,20.83,99,95.15,99,5.5,18.18,100,81.82,63.64,27.27,18.18,9.09,0,9.09,0,0,9.09,18.18,9.09,0,9.09,18.18,0,0,0,36.36,0,0,9.09,0,0,9.09,18.18,0,18.18,18.18,0,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,27.27,9.09,9.09,9.09,0,0,9.09,18.18,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,9.09,9.09,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0
Someone told me there was a party I don’t know what number but I[ORG] wanek,Where at on the fourth floor,which side,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user informs an admin that there may be a party with possible drugs and alcohol on the fourth floor of a building. The admin asks for the specific building and room number. The user is unsure of the room number but wants to report it to [ORG]. The admin asks which side of the building and the user confirms it is the bakery side. The admin thanks the user and says they will dispatch someone to investigate. The user also mentions that people are going on alcohol runs and after the room is searched, they plan on getting more alcohol. The user clarifies that this is happening on the third floor, bakery side. 
 User: Fourth floor party and alcohol possible drugs (dab pen and weed)
Dispatcher: #th floor of what building and do you have room number 
 User: Someone told me there was a party I don’t know what number but I[ORG] wanek
Dispatcher:","[['Fourth floor party and alcohol possible drugs (dab pen and weed)', '#th floor of what building and do you have room number']]","A user informs an admin that there may be a party with possible drugs and alcohol on the fourth floor of a building. The admin asks for the specific building and room number. The user is unsure of the room number but wants to report it to [ORG]. The admin asks which side of the building and the user confirms it is the bakery side. The admin thanks the user and says they will dispatch someone to investigate. The user also mentions that people are going on alcohol runs and after the room is searched, they plan on getting more alcohol. The user clarifies that this is happening on the third floor, bakery side.",1,2,1,1,99,,2,0,100,50,50,50,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
