instruction,response,output,prompt,history,summary,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
Both myself and the driver have both left the scene. I can provide contact information if they still want to speak with me. And yes they fled on foot.,"All right. I'll pass that on. User, may I have your name please?",It's entirely up to you on disclosing your contact information. [ACRONYM]/U[ACRONYM] officers are checking the area currently. Did you happen to get any clothing description on any of them?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports an attempted car jacking by a group of males in a specific location. The admin asks if the user was in the victim's vehicle and if they can speak with responding officers. The admin also mentions that the organization has been notified and they will check the area. The user clarifies that they were a witness and not in the vehicle, but can provide contact information if needed. The admin asks for a clothing description of the suspects and the user provides some details. The user decides not to disclose their contact information. The admin thanks the user for the information and wishes them a safe night. 
 User: Attempted car jacking on Mynders and Brister by the Nine. # [NORP] males fled the scene after driver pulled one of them out of the car. The four of them fled down brister after the incident
Dispatcher: Hey there. Were you in the victim's vehicle? If so, would you be available to speak with the responding officers? 
 User: [ORG] has been notified and we're going to check the area as well.
Dispatcher: No I was not it was a dominos delivery driver I just witnessed the incident 
 User: All right. Would you be available to speak with the officers? If so, may I have your name and/or a good contact number for you? They should be arriving momentarily.
Dispatcher: Did they flee on foot? 
 User: Both myself and the driver have both left the scene. I can provide contact information if they still want to speak with me. And yes they fled on foot.
Dispatcher:","[['Attempted car jacking on Mynders and Brister by the Nine. # [NORP] males fled the scene after driver pulled one of them out of the car. The four of them fled down brister after the incident', ""Hey there. Were you in the victim's vehicle? If so, would you be available to speak with the responding officers?""], [""[ORG] has been notified and we're going to check the area as well."", 'No I was not it was a dominos delivery driver I just witnessed the incident'], ['All right. Would you be available to speak with the officers? If so, may I have your name and/or a good contact number for you? They should be arriving momentarily.', 'Did they flee on foot?']]","A user reports an attempted car jacking by a group of males in a specific location. The admin asks if the user was in the victim's vehicle and if they can speak with responding officers. The admin also mentions that the organization has been notified and they will check the area. The user clarifies that they were a witness and not in the vehicle, but can provide contact information if needed. The admin asks for a clothing description of the suspects and the user provides some details. The user decides not to disclose their contact information. The admin thanks the user for the information and wishes them a safe night.",1,13,1.3,81.78,81.58,,4.33,0,92.31,69.23,61.54,30.77,23.08,15.38,0,7.69,0,0,7.69,23.08,0,0,7.69,23.08,0,0,0,30.77,0,7.69,0,0,0,0,15.38,7.69,7.69,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,23.08,7.69,7.69,7.69,0,0,0,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.77,7.69,0,7.69,0,0,0,0,0,0,0,15.38,0,0,0,0,0,38.46,15.38,7.69,7.69,0,7.69,0,0
Si lo tienen?,"[ORG], espera un momento.",Están revisando,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.

A user reports to an admin that they left their charger at a location and asks if it can be retrieved. The admin responds that all lost items are handled by security and will be informed to check the location. The user asks if the admin has their address and the admin says it will be given to the officer on site. The user asks if the admin can confirm if the charger has been found and the admin says they are still checking. The admin informs that no charger was found in the specified area. 
 User: Todo objeto que sea reportado al área de Seguridad en unidades de prepas, pasa [PERSON].
Dispatcher: Y ya tiene mi cargador dirección? 
 User: Se informará al Oficial que revise en el sitio.
Dispatcher: Osea lo que quería es que lo tenga ya dirección 
 User: [ORG]
Dispatcher: Saludos! 
 User: Me podría informar si lo obtiene?
Dispatcher:?? 
 User: En un momento.
Dispatcher: [ORG] 
 User: Si lo tienen?
Dispatcher:","[['Todo objeto que sea reportado al área de Seguridad en unidades de prepas, pasa [PERSON].', 'Y ya tiene mi cargador dirección?'], ['Se informará al Oficial que revise en el sitio.', 'Osea lo que quería es que lo tenga ya dirección'], ['[ORG]', 'Saludos!'], ['Me podría informar si lo obtiene?', '??'], ['En un momento.', '[ORG]']]",A user reports to an admin that they left their charger at a location and asks if it can be retrieved. The admin responds that all lost items are handled by security and will be informed to check the location. The user asks if the admin has their address and the admin says it will be given to the officer on site. The user asks if the admin can confirm if the charger has been found and the admin says they are still checking. The admin informs that no charger was found in the specified area.,1,4,,,89.39,,4,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,100,25,25,0,0,0,50,0
Found at [FAC] first floor ladies room floor,[ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] GIVE [ACRONYM] NUMBER [ACRONYM] [ACRONYM] [ACRONYM],"Hello, are they still in the ladies room?","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user found something on the first floor of a facility and informs the admin that they have it. The admin asks if the item is still in the ladies room and the user confirms they have it and can take it to their office in a specific location. The user is unsure of the best way to return the item to its owner. The admin suggests meeting at the user's office and asks how long it will take for the user to get there. The user is already at their office and the admin says they will send someone as soon as possible. The admin thanks the user for using LiveSafe and wishes them a nice day. 
 User: Found at [FAC] first floor ladies room floor
Dispatcher:",[],A user found something on the first floor of a facility and informs the admin that they have it. The admin asks if the item is still in the ladies room and the user confirms they have it and can take it to their office in a specific location. The user is unsure of the best way to return the item to its owner. The admin suggests meeting at the user's office and asks how long it will take for the user to get there. The user is already at their office and the admin says they will send someone as soon as possible. The admin thanks the user for using LiveSafe and wishes them a nice day.,1,11,,,,,11,81.82,18.18,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,163.64,0,0,0,0,0,163.64,0
Sure. [PERSON]?,Who was it that you didn't see lose,Who was the victim? are you in sawyer now?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports to an admin that a man outside [LOC] in a blue bucket hat has just robbed a student. The admin asks for a description of the male, if any weapons were shown, and what was taken. The user describes the man as tall with a blue hat and navy backpack, heading towards [LOC] from the common. The admin asks for more information and if the student is still there. The user informs that the student fled and they have lost sight of the man. The admin asks what was taken and if the man had a weapon. They also ask the user to meet with officers outside of [LOC] and for the race of the male. The user states they did not see any weapons and that [PERSON] was handed over. They clarify that they were not involved in the incident and apologize for not having more information. The admin asks the user to meet with them and the user agrees. The admin asks for the victim's name and if the user is currently in [LOC]. The user confirms they are by [PERSON] and recognizes them as a [ORG] student. The admin instructs the user to wait in the [PERSON] lobby and asks for their name. The user identifies themselves and informs that they are in the lobby. The admin informs that an officer will meet them and thanks them for their help. 
 User: Which direction did the male go?
Dispatcher: Tall. Blue hat navy backpack. Heading towards ### from the common. Looked like he was heading up towards ## 
 User: Could you please help us by giving us more information? is the student still there
Dispatcher: Student fled. I've lost sight of the man 
 User: Please let us know what he took
Dispatcher: Did he have a weapon? 
 User: Could you please meet with Officers outside of ###? What is was the race of the male?
Dispatcher: I didn't see any weapons. [PERSON] was handed over 
 User: I wasn't in incident. This is all the information I have. I'm sorry
Dispatcher: Could you please meet with us? 
 User: Sure. [PERSON]?
Dispatcher:","[['Which direction did the male go?', 'Tall. Blue hat navy backpack. Heading towards ### from the common. Looked like he was heading up towards ##'], ['Could you please help us by giving us more information? is the student still there', ""Student fled. I've lost sight of the man""], ['Please let us know what he took', 'Did he have a weapon?'], ['Could you please meet with Officers outside of ###? What is was the race of the male?', ""I didn't see any weapons. [PERSON] was handed over""], [""I wasn't in incident. This is all the information I have. I'm sorry"", 'Could you please meet with us?']]","A user reports to an admin that a man outside [LOC] in a blue bucket hat has just robbed a student. The admin asks for a description of the male, if any weapons were shown, and what was taken. The user describes the man as tall with a blue hat and navy backpack, heading towards [LOC] from the common. The admin asks for more information and if the student is still there. The user informs that the student fled and they have lost sight of the man. The admin asks what was taken and if the man had a weapon. They also ask the user to meet with officers outside of [LOC] and for the race of the male. The user states they did not see any weapons and that [PERSON] was handed over. They clarify that they were not involved in the incident and apologize for not having more information. The admin asks the user to meet with them and the user agrees. The admin asks for the victim's name and if the user is currently in [LOC]. The user confirms they are by [PERSON] and recognizes them as a [ORG] student. The admin instructs the user to wait in the [PERSON] lobby and asks for their name. The user identifies themselves and informs that they are in the lobby. The admin informs that an officer will meet them and thanks them for their help.",1,8,1,94.84,15.38,1,8,0,100,100,75,50,25,0,0,12.5,0,0,25,12.5,0,0,0,25,0,0,12.5,50,0,0,12.5,0,12.5,0,12.5,0,12.5,0,0,0,0,0,12.5,0,12.5,0,12.5,0,0,0,0,0,0,0,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,12.5,12.5,0,0,0,12.5,0,0,0,25,0,0,0,0,0,0,0,12.5,0,0,0,0,12.5,0,0
"I misplaced my keys. they are on a green sbc lanyard. if you see them, let me know. they are meta glass keys.","NO problem, where did you last see them?","Hello, it's [ORG]. Do you remember were you last saw your keys?","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.

The user lost their keys, which are on a green lanyard and have meta glass keys. They ask for help in finding them and mention they last used them in metta. The admin from [ORG] asks where they last saw the keys, and the user says it was in the auditorium downstairs in [GPE]. The admin thanks them and says they will search that area for the keys. 
 User: I misplaced my keys. they are on a green sbc lanyard. if you see them, let me know. they are meta glass keys.
Dispatcher:",[],"The user lost their keys, which are on a green lanyard and have meta glass keys. They ask for help in finding them and mention they last used them in metta. The admin from [ORG] asks where they last saw the keys, and the user says it was in the auditorium downstairs in [GPE]. The admin thanks them and says they will search that area for the keys.",1,8,1,99,89.39,,8,12.5,100,75,62.5,25,25,0,0,12.5,0,12.5,0,12.5,0,0,0,12.5,12.5,0,12.5,25,0,0,0,0,0,0,25,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,12.5,12.5,0,0,12.5,12.5,0,0,0,0,0,0,0,25,0,12.5,12.5,0,0,0,0
Buen día,Hacía tiempo,Fue el día de hoy ?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user informs an admin that they left their red wallet in the bathroom of a village. The admin greets them and asks if it was today. The user confirms and explains that they left their coffee maker in a bathroom at UDEM. They ask if it can be kept for them and say they are on their way. The admin says they will inform them shortly. The user mentions an organization and says the wallet is red and says Moschino. 
 User: Cartera roja en el baño de aldea
Dispatcher: Buen día 
 User: Buen día
Dispatcher:","[['Cartera roja en el baño de aldea', 'Buen día']]",A user informs an admin that they left their red wallet in the bathroom of a village. The admin greets them and asks if it was today. The user confirms and explains that they left their coffee maker in a bathroom at UDEM. They ask if it can be kept for them and say they are on their way. The admin says they will inform them shortly. The user mentions an organization and says the wallet is red and says Moschino.,1,2,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yup. I can go in a few minutes,Where are you?,We're open ## hours so whenever it's convenient for you.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports that their grey mountain bicycle was stolen from in front of a house at a specific location on a certain date. The user's bike was registered with an organization previously. The admin offers to have the user meet with an officer to file a report, which could help in the search for the bike. The user agrees to come to the organization's station and the admin provides the location and building code. The user confirms they can go in a few minutes and the admin mentions the organization's hours of operation. The admin thanks the user for using LiveSafe. 
 User: My grey mountain bicycle was stolen from in front of the [ORG] house, at [ORG], last night, the night of Sunday December #nd. my [ORG] is [DATE] and my bike was registered with [ORG] previously.
Dispatcher: Would you like to meet with a [ORG] officer to take a report? 
 User: Would this help search for my bike?
Dispatcher: By filing a report, it helps us return the bike to you in the event that it turns up in the future. 
 User: Are you able to come to the [ORG] station to file a report?
Dispatcher: Sure I can do that 
 User: Do you know where the [ORG] office is?
Dispatcher: #### [PERSON] 
 User: The building code is [ACRONYM]
Dispatcher: Just across the street from [ORG] and [ORG] 
 User: Yup. I can go in a few minutes
Dispatcher:","[['My grey mountain bicycle was stolen from in front of the [ORG] house, at [ORG], last night, the night of Sunday December #nd. my [ORG] is [DATE] and my bike was registered with [ORG] previously.', 'Would you like to meet with a [ORG] officer to take a report?'], ['Would this help search for my bike?', 'By filing a report, it helps us return the bike to you in the event that it turns up in the future.'], ['Are you able to come to the [ORG] station to file a report?', 'Sure I can do that'], ['Do you know where the [ORG] office is?', '#### [PERSON]'], ['The building code is [ACRONYM]', 'Just across the street from [ORG] and [ORG]']]","A user reports that their grey mountain bicycle was stolen from in front of a house at a specific location on a certain date. The user's bike was registered with an organization previously. The admin offers to have the user meet with an officer to file a report, which could help in the search for the bike. The user agrees to come to the organization's station and the admin provides the location and building code. The user confirms they can go in a few minutes and the admin mentions the organization's hours of operation. The admin thanks the user for using LiveSafe.",1,3,1,99,99,,3,0,100,100,100,33.33,33.33,0,0,33.33,0,0,0,0,0,0,0,33.33,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,33.33,0,0,0,0,0,33.33,0,0,0,0,0,0,33.33,0,0,33.33,0,0,0,0
My friends bike was stolen near the bridge and [ORG],WHAT TYPE OF BIKE WAS IT?,Thank you for contacting [ACRONYM] Police. Did your friend see who took the bike?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports to an admin that their friend's bike was stolen near a bridge and an organization. The admin, representing the police department, asks if the friend saw who took the bike. The user responds that they did not and that the bike is registered through the organization. The admin advises the user to have their friend fill out a theft report on the police department's website, providing the web address and mentioning that the serial number can be looked up through the friend's student account. The user thanks the admin and the admin wishes them a good night. 
 User: My friends bike was stolen near the bridge and [ORG]
Dispatcher:",[],"A user reports to an admin that their friend's bike was stolen near a bridge and an organization. The admin, representing the police department, asks if the friend saw who took the bike. The user responds that they did not and that the bike is registered through the organization. The admin advises the user to have their friend fill out a theft report on the police department's website, providing the web address and mentioning that the serial number can be looked up through the friend's student account. The user thanks the admin and the admin wishes them a good night.",1,6,10.19,,,,6,0,66.67,66.67,66.67,33.33,0,0,0,0,0,0,33.33,0,0,0,16.67,16.67,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0
It looked like a cross over vehicle I don’t know the make or model,Alright we have officers checkin the area thank you,Thank you for being observant and reporting things that you feel are out of the ordinary.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports that spare tires were stolen from two vehicles, one in a dirt lot across from a helix and the other in a lot near a library. The admin asks how the user knows the tires were stolen and if they were a witness. The user explains that they noticed the tires were missing on separate cars and the covers were ripped off. The admin thanks the user and asks for more information about the vehicle in the lot near the library. The user is unable to provide specific details as they are currently in class. The admin thanks the user for reporting the incident and the user apologizes for not having more information. 
 User: Externally located spare tires stolen off of two vehicles. One vehicle ([ORG]) in the dirt lot across from the helix and second vehicle located in the lot near the library (Daumier parking overflow)
Dispatcher: Thank you for this information. How do you know these tires were stolen? 
 User: Were you a witness or did you notice the tires missing?
Dispatcher: I noticed the tires were missing on separate cars 
 User: The covers were both ripped off the tires in separate lots
Dispatcher: Didn’t look like it was intentional by the car owners 
 User: thank you we currently have someone checking the area. could you provide more information on the vehicle located """"in the lot near the library"""" would that be lot ##, ##, ##, ## or ##? and what kind of vehicle
Dispatcher: I[ORG] in class right now so I[ORG] not sure about the lot near the library number 
 User: It looked like a cross over vehicle I don’t know the make or model
Dispatcher:","[['Externally located spare tires stolen off of two vehicles. One vehicle ([ORG]) in the dirt lot across from the helix and second vehicle located in the lot near the library (Daumier parking overflow)', 'Thank you for this information. How do you know these tires were stolen?'], ['Were you a witness or did you notice the tires missing?', 'I noticed the tires were missing on separate cars'], ['The covers were both ripped off the tires in separate lots', 'Didn’t look like it was intentional by the car owners'], ['thank you we currently have someone checking the area. could you provide more information on the vehicle located """"in the lot near the library"""" would that be lot ##, ##, ##, ## or ##? and what kind of vehicle', 'I[ORG] in class right now so I[ORG] not sure about the lot near the library number']]","A user reports that spare tires were stolen from two vehicles, one in a dirt lot across from a helix and the other in a lot near a library. The admin asks how the user knows the tires were stolen and if they were a witness. The user explains that they noticed the tires were missing on separate cars and the covers were ripped off. The admin thanks the user and asks for more information about the vehicle in the lot near the library. The user is unable to provide specific details as they are currently in class. The admin thanks the user for reporting the incident and the user apologizes for not having more information.",1,9,10.19,99,10.18,99,9,33.33,88.89,66.67,55.56,22.22,22.22,0,11.11,11.11,0,0,0,11.11,11.11,0,0,11.11,11.11,0,0,22.22,11.11,0,22.22,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,44.44,11.11,11.11,11.11,0,0,11.11,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,11.11,0,0,0,0,0,0,0,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0
Car battery stolen. Found my car unlocked and its battery was missing. Must have happened some time last night. Car was parked in the complex's garage.,"# WAS [ACRONYM]",are you able to call in to have an officer meet with you? ###-##-####,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.

A user reports that their car battery was stolen from their unlocked car in the complex's garage. The admin asks if the user can call to have an officer meet with them. The user's roommate has also reported an incident and an officer is expected to arrive soon. The user confirms the location as [ORG] on #### Park Grove Ave. The admin asks the user to call them and provides a corrected phone number. The user asks for an estimated time of arrival for the officer. The admin assures them that an officer will be sent as soon as possible. 
 User: Car battery stolen. Found my car unlocked and its battery was missing. Must have happened some time last night. Car was parked in the complex's garage.
Dispatcher:",[],A user reports that their car battery was stolen from their unlocked car in the complex's garage. The admin asks if the user can call to have an officer meet with them. The user's roommate has also reported an incident and an officer is expected to arrive soon. The user confirms the location as [ORG] on #### Park Grove Ave. The admin asks the user to call them and provides a corrected phone number. The user asks for an estimated time of arrival for the officer. The admin assures them that an officer will be sent as soon as possible.,1,2,1,,,,2,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,150,0,0,0,0,0,150,0
