instruction,response,output,prompt,history,summary,his_len,type
"users don't see your name, just [ORG]","dispatchers see your name and the name of the organization you're calling from
",thank you,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: users don't see your name, just [ORG]
Dispatcher:",[],,19,TheftLostItem
no I don't remember. I think the boys may have been wearing red or yellow,"No, no. You're thinking of the clowns.
",Thank you I have police officers checking the area.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: no I don't remember. I think the boys may have been wearing red or yellow
Dispatcher:",[],,5,TheftLostItem
small gun,"dispatcher
",is the suspect on foot or in a vehicle?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: small gun
Dispatcher:",[],,9,TheftLostItem
goid morning. hope all is well,"good morning. how can i help you?
",This is [PERSON] by the way,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: goid morning. hope all is well
Dispatcher:",[],,4,TheftLostItem
was though.,"was though.
",ok. well thank you for the information and I will pass it on to [ORG].,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: was though.
Dispatcher:",[],,11,TheftLostItem
white [ORG],"black [ORG]
",[ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] PERMIT NUMBER?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: white [ORG]
Dispatcher:",[],,10,TheftLostItem
nope,"nope
",How about the markers?!,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: nope
Dispatcher:",[],,1,TheftLostItem
ok sounds good!,"Ok. First of all, you need to call the police department and report the incident.
",We will take a look but in the event that we are unable to locate it. It is highly advisable that you file a report on the matter. Also it is very helpful if you are with the public safety officer when searching because only you know exactly where you parked and how you got there.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: ok sounds good!
Dispatcher:",[],,9,TheftLostItem
turned right on west college,"Hello, this is dispatcher, how can I help you?
",Any further description.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: turned right on west college
Dispatcher:",[],,1,TheftLostItem
females going into historic too,"okay 
",Which street sign?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: and # females have the other sign on the grass across from [ORG] atm
Dispatcher: okay 
 User: females going into historic too
Dispatcher:","[['and # females have the other sign on the grass across from [ORG] atm', 'okay']]",,6,TheftLostItem
thick* kickstand. the bike has white and black accents as well,"hello. i'm dispatcher.
",Thank you for using [UNK-NNP]. Because your home is outside [ACRONYM] [UNK-NNP] jurisdiction a call for service was sent to [ORG]. To follow up on this call for service call ###-####.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: thick* kickstand. the bike has white and black accents as well
Dispatcher:",[],,3,TheftLostItem
what happened on campus?,"I'm sorry to hear that. What happened?
",[ORG] [ACRONYM] A ROBBERY,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: what happened on campus?
Dispatcher:",[],,8,TheftLostItem
not west,"not west
",yes. it has you near the playground,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: not west
Dispatcher:",[],,3,TheftLostItem
what happens if i call you from the app?,"The app is not a replacement for 911. If you have an emergency, please call 911.
","dont call ### thats ###, but it will call ### if you do.lets try","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: what happens if i call you from the app?
Dispatcher:",[],,15,TheftLostItem
"thank you, it happened this [UNK-NNP], around #-#pm","I understand. We are here to help. 
",We will send an officer to meet with you. When did the incident occur?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I am at home now, the address I sent to you.
Dispatcher: Thank you for contacting [ORG]. We are happy to help. Where are you currently located? 
 User: thank you, it happened this [UNK-NNP], around #-#pm
Dispatcher:","[['I am at home now, the address I sent to you.', 'Thank you for contacting [ORG]. We are happy to help. Where are you currently located?']]",,3,TheftLostItem
